StudyHours,ExtraParticipation,PapersPracticed,PreviousMarks,SleepingHours,PerformancePapersPracticedIndex
9,No,6,8,7,78
3,No,5,45,9,26
3,No,5,42,9,25
6,Yes,6,59,6,47
2,No,,,4,28
9,Yes,9,45,4,4
3,Yes,0,79,6,59
8,No,4,76,9,72
4,Yes,4,99,4,82
3,Yes,2,83,4,63
2,Yes,2,59,6,35
7,Yes,8,90,6,82
5,No,,95,8,82
4,No,4,83,8,65
5,Yes,0,8,4,63
3,No,7,40,4,7
6,No,9,74,6,62
,Yes,6,6,8,39
4,Yes,8,53,9,40
7,No,0,73,4,6
3,No,7,69,4,45
9,Yes,6,74,9,74
7,Yes,5,78,8,70
,No,5,96,7,72
6,No,7,70,4,57
5,Yes,8,58,8,46
,No,8,66,6,43
3,No,4,97,6,75
,Yes,3,66,6,38
7,Yes,7,67,8,60
9,Yes,0,73,5,67
3,No,9,97,4,74
2,No,5,97,9,78
8,No,2,87,5,8
5,No,6,8,4,67
5,No,9,79,4,66
5,No,2,70,8,57
3,No,0,8,7,62
6,No,7,48,6,38
,No,7,8,5,55
7,Yes,,57,5,48
8,Yes,4,4,4,32
,No,3,42,4,
5,No,6,84,9,76
4,No,2,59,9,4
,Yes,9,48,7,9
7,No,9,57,6,53
3,Yes,8,96,6,79
,No,0,49,4,9
5,Yes,2,77,6,62
2,No,4,98,7,7
7,No,9,49,7,44
,No,4,94,9,73
9,Yes,6,62,5,59
9,Yes,9,59,7,58
9,Yes,2,46,4,4
7,No,8,92,6,87
8,Yes,8,49,4,46
7,Yes,8,4,7,34
8,Yes,9,6,6,58
8,Yes,,58,9,49
,No,3,53,8,26
7,Yes,6,47,8,37
5,Yes,0,84,7,7
2,No,2,73,4,
9,Yes,4,62,8,62
2,No,0,80,4,52
4,No,7,66,6,5
7,Yes,,75,6,65
7,No,9,79,5,69
4,No,0,87,5,69
4,Yes,5,52,6,3
,No,8,63,7,40
3,Yes,6,57,5,36
4,No,9,9,4,74
9,Yes,9,79,6,78
5,No,2,83,8,68
6,Yes,8,78,8,69
8,Yes,0,42,8,37
3,No,,95,6,76
3,No,,4,5,2
4,Yes,7,67,7,48
3,Yes,0,7,5,
5,No,4,62,7,47
3,No,2,47,4,24
2,No,0,56,4,30
,Yes,,89,4,63
3,Yes,9,97,5,78
7,Yes,7,64,4,56
8,No,4,42,8,36
3,No,6,4,4,20
9,Yes,8,45,4,4
3,No,3,68,7,43
4,No,8,53,6,35
4,Yes,9,74,4,55
7,No,9,90,8,86
4,Yes,7,6,6,46
4,No,6,73,5,59
6,Yes,5,97,8,86
,No,5,42,5,2
5,Yes,2,74,4,59
,Yes,8,54,5,27
,No,3,76,5,52
5,Yes,7,42,4,25
6,Yes,3,7,7,6
4,Yes,4,65,5,45
5,Yes,6,86,7,73
9,Yes,7,54,4,52
5,No,6,64,7,49
8,Yes,3,90,4,82
7,No,,92,9,87
8,Yes,9,98,5,97
4,No,5,53,9,34
,Yes,8,78,9,56
2,Yes,2,78,8,58
,Yes,0,82,6,56
5,Yes,5,76,8,63
6,Yes,8,90,7,80
7,Yes,4,8,9,74
4,Yes,,6,7,44
7,No,3,73,8,63
3,Yes,2,80,7,63
7,No,9,58,5,49
4,No,0,83,8,68
6,No,,70,7,58
4,No,3,93,7,80
4,No,0,77,4,59
8,Yes,5,49,8,43
4,No,7,9,6,75
,No,7,49,5,22
,Yes,,65,4,37
9,No,0,69,5,63
9,No,5,79,4,73
3,Yes,0,65,8,43
5,Yes,9,60,5,46
6,No,2,67,6,54
6,Yes,8,63,4,5
4,Yes,5,95,9,78
8,No,8,62,9,62
4,No,0,65,4,45
9,No,5,7,7,68
,No,3,9,4,64
2,No,,62,6,37
5,Yes,2,68,6,53
5,No,5,83,6,70
6,No,9,42,4,24
6,No,6,7,6,55
8,No,8,76,6,66
3,Yes,6,88,8,72
,Yes,6,6,6,37
8,No,4,90,5,83
2,Yes,3,67,9,43
4,Yes,5,94,4,74
8,Yes,5,68,4,64
,Yes,3,69,4,4
9,No,3,87,7,88
5,No,9,40,4,23
4,Yes,9,47,8,3
4,Yes,6,69,8,55
9,Yes,2,56,9,53
3,No,,60,8,39
8,No,8,46,4,37
8,No,2,62,7,57
7,Yes,3,88,5,80
,Yes,6,98,5,73
6,No,7,75,7,66
9,No,7,83,8,83
8,Yes,9,60,7,55
7,No,0,6,8,53
6,No,6,84,4,72
5,Yes,5,73,7,57
7,No,3,68,6,58
7,No,7,86,5,79
6,Yes,5,89,4,80
2,No,0,63,4,37
,No,9,47,8,24
9,No,9,45,4,40
5,No,8,79,7,68
,No,5,96,7,7
7,No,6,68,7,58
4,No,,90,4,70
2,Yes,6,,6,28
2,No,6,43,5,8
6,Yes,9,76,6,65
6,No,7,58,9,49
8,No,3,82,8,79
3,No,5,90,6,72
8,Yes,2,45,6,38
7,No,5,99,4,89
3,Yes,5,77,8,6
9,No,,85,9,80
5,Yes,6,7,4,54
5,Yes,,5,5,39
4,Yes,7,58,9,4
8,Yes,6,56,5,54
,Yes,4,68,7,4
3,Yes,2,53,4,30
7,Yes,,83,7,74
4,Yes,0,88,9,74
6,No,2,49,6,36
8,No,5,46,6,40
4,No,3,5,5,32
6,Yes,2,58,8,45
6,Yes,4,70,4,59
3,No,5,69,7,48
3,No,4,5,6,33
3,No,3,74,7,54
2,No,7,96,6,75
5,Yes,5,80,7,65
5,Yes,3,75,5,60
3,Yes,5,,5,30
9,No,5,66,8,65
2,Yes,3,65,5,45
5,No,6,63,8,52
2,Yes,4,78,6,55
2,Yes,6,59,5,38
3,Yes,,77,4,56
2,Yes,5,57,7,34
6,No,5,69,5,56
5,No,9,8,7,66
5,Yes,3,99,9,89
8,No,8,9,7,88
5,Yes,,95,8,83
6,No,0,59,8,45
3,Yes,7,54,5,35
,No,5,77,7,52
2,Yes,0,6,8,42
2,No,0,40,4,3
8,Yes,2,62,6,58
2,Yes,3,49,8,23
2,Yes,2,85,7,64
9,Yes,5,45,7,45
,Yes,6,40,9,5
5,Yes,6,70,9,6
8,Yes,7,45,9,40
3,No,3,44,6,9
9,No,5,93,7,92
8,No,3,68,7,6
5,No,0,57,5,40
6,Yes,8,84,8,76
5,No,8,94,8,8
9,Yes,5,92,5,90
9,No,9,87,7,86
7,No,,47,7,37
8,Yes,,99,6,93
,No,6,67,4,39
7,Yes,6,40,9,34
9,No,8,90,5,85
4,Yes,8,90,9,76
,Yes,9,40,8,8
9,No,2,85,5,8
3,Yes,0,49,4,26
2,Yes,,85,9,6
5,Yes,4,77,5,62
9,Yes,8,44,4,39
6,Yes,4,83,5,70
2,Yes,5,89,5,70
7,Yes,6,8,9,75
6,Yes,0,5,4,38
5,Yes,2,52,5,36
3,Yes,,47,4,28
2,No,,89,8,66
7,Yes,,65,6,54
3,No,4,47,9,25
,Yes,8,85,7,59
7,Yes,5,54,4,42
9,No,7,44,4,37
8,Yes,5,76,6,72
3,Yes,7,75,5,55
2,No,7,67,8,47
3,No,4,46,5,2
2,No,3,63,5,35
5,Yes,7,48,7,33
3,Yes,4,56,4,35
2,Yes,,9,7,66
9,Yes,5,,7,5
7,Yes,7,62,4,55
3,Yes,5,63,9,45
5,No,7,63,9,5
2,No,4,75,4,
5,No,6,43,5,29
,Yes,8,5,8,27
2,No,9,87,4,67
9,No,6,84,6,79
6,Yes,3,60,4,46
,No,3,4,7,2
7,No,3,96,5,84
9,No,4,52,7,49
3,Yes,0,72,5,46
8,No,0,78,7,70
6,No,,52,4,37
7,No,,74,7,64
8,Yes,9,77,7,70
4,No,2,56,7,37
9,No,4,45,7,42
,Yes,3,76,7,54
9,No,2,46,6,37
4,Yes,0,47,7,28
2,No,8,94,7,72
8,No,2,5,5,44
,Yes,5,90,5,67
2,Yes,6,82,6,60
9,No,3,66,9,6
5,No,4,85,9,73
8,No,5,47,9,40
3,No,9,98,5,76
6,Yes,4,56,5,45
4,Yes,8,60,7,45
7,Yes,6,79,9,72
2,Yes,8,85,7,64
7,No,8,53,6,42
5,No,7,90,9,74
3,No,5,42,4,20
5,Yes,7,82,6,72
5,Yes,,48,8,35
3,Yes,6,67,8,52
8,No,8,76,8,70
6,No,9,40,9,29
,Yes,5,76,4,48
8,Yes,8,59,9,55
3,No,4,73,6,52
2,Yes,0,57,7,34
9,Yes,5,9,4,89
2,No,5,66,9,45
9,No,7,88,6,89
9,Yes,6,42,9,4
3,No,7,59,7,43
,No,2,56,6,3
9,Yes,6,67,5,62
4,Yes,4,66,5,48
,Yes,2,99,9,76
8,Yes,2,80,4,70
2,Yes,8,79,4,56
2,Yes,3,75,5,53
7,Yes,8,43,6,35
7,Yes,9,59,5,55
7,No,,9,8,82
4,No,3,64,7,44
4,No,3,75,6,6
6,No,3,80,7,69
8,No,8,79,8,75
8,Yes,8,77,5,69
8,Yes,5,82,6,76
4,Yes,8,5,5,36
2,Yes,6,67,6,44
5,Yes,0,92,8,79
3,No,,4,4,8
8,No,4,48,5,40
8,Yes,7,70,6,64
8,No,8,65,4,57
4,Yes,,93,7,73
7,No,7,92,9,86
3,No,6,57,7,33
2,No,0,65,6,40
6,Yes,4,9,9,86
2,No,9,62,4,40
3,No,5,56,4,32
9,Yes,8,67,8,68
3,Yes,9,73,6,
9,No,5,52,6,
,Yes,2,76,7,5
,No,5,60,9,32
8,No,9,68,5,64
2,No,2,73,7,52
,Yes,7,87,8,64
,No,8,52,5,24
9,Yes,4,80,4,75
9,Yes,3,92,7,93
4,Yes,0,96,4,76
7,No,,75,7,66
7,Yes,6,93,5,87
8,No,0,64,5,56
,No,3,5,8,23
5,Yes,6,83,5,69
2,Yes,2,98,4,75
7,Yes,,99,9,9
8,No,3,56,9,49
5,No,0,84,8,70
7,No,,63,6,
3,Yes,4,56,6,36
5,No,0,56,8,40
4,Yes,4,45,7,25
3,Yes,3,92,5,7
9,Yes,3,67,4,64
5,Yes,8,42,7,30
7,No,4,46,7,37
4,Yes,5,90,5,74
6,Yes,7,94,7,86
5,Yes,3,98,8,86
8,No,7,66,4,59
9,Yes,3,89,5,86
7,Yes,0,4,9,32
7,Yes,8,99,8,95
7,No,5,56,4,46
9,No,7,97,5,95
4,Yes,0,59,8,42
4,No,9,76,7,57
4,No,7,66,6,
6,Yes,9,89,8,78
7,Yes,,86,9,84
3,Yes,,73,8,54
,Yes,5,59,8,34
7,No,7,85,8,77
5,Yes,8,94,7,79
3,No,,70,5,49
7,Yes,2,94,4,86
2,No,4,66,9,42
7,Yes,3,56,8,49
7,Yes,2,45,7,36
3,Yes,3,6,8,42
9,Yes,4,46,4,44
7,Yes,2,65,8,56
8,Yes,,74,8,67
4,No,7,88,9,72
5,No,9,47,7,34
9,Yes,3,60,4,56
4,Yes,8,,5,32
7,No,6,80,8,74
5,No,8,68,4,52
7,No,6,99,6,89
7,No,,8,8,72
8,Yes,3,78,8,76
6,Yes,7,68,9,6
8,No,7,6,5,54
6,No,9,98,5,87
,No,,78,5,
6,Yes,5,62,8,49
7,Yes,2,67,5,58
8,No,4,43,6,36
8,No,0,42,4,3
8,Yes,6,62,5,58
6,No,5,45,4,36
4,Yes,,69,4,53
5,No,6,65,9,53
6,Yes,3,57,8,46
2,No,0,73,4,
9,Yes,8,83,6,80
4,Yes,6,82,8,68
,No,9,99,6,76
2,No,9,70,7,48
6,No,7,62,5,
9,Yes,6,52,7,52
5,No,9,60,6,44
3,No,0,58,7,37
8,No,2,54,4,48
4,Yes,0,5,9,36
9,Yes,6,54,8,55
3,No,3,89,9,69
4,No,9,40,9,25
3,Yes,4,75,6,57
6,Yes,9,99,5,93
8,No,3,93,7,86
4,Yes,2,98,7,82
2,No,8,77,7,52
2,No,0,90,9,67
8,No,0,56,7,
9,No,0,54,8,49
4,No,9,75,8,6
3,No,9,68,7,46
5,No,2,77,8,6
3,No,5,7,4,52
,Yes,7,46,4,2
8,Yes,0,5,9,44
,Yes,0,5,8,26
3,No,9,44,6,26
7,Yes,0,67,5,59
9,No,0,5,9,47
8,Yes,2,90,7,84
4,Yes,7,57,4,38
7,No,0,83,6,73
6,No,4,99,9,90
9,No,,77,7,72
5,No,0,60,7,44
5,No,5,74,5,63
6,Yes,4,97,5,87
3,Yes,8,78,5,57
5,Yes,5,57,4,4
6,Yes,,83,7,7
9,No,,5,6,44
2,No,6,79,6,58
9,Yes,3,93,8,92
2,No,3,7,9,47
2,Yes,0,66,4,45
5,No,9,88,6,77
3,Yes,,74,4,
8,Yes,9,45,9,44
7,Yes,4,70,8,60
,Yes,6,82,9,56
4,Yes,9,63,5,47
6,No,6,93,6,84
9,Yes,8,89,9,90
4,No,3,59,8,42
6,No,5,86,6,74
5,No,0,73,6,56
3,No,3,77,7,57
3,Yes,6,67,4,46
9,No,2,79,9,77
5,No,8,58,8,47
4,No,4,57,5,36
6,Yes,5,68,9,59
5,No,7,83,5,67
,Yes,2,,6,24
9,No,6,56,6,52
9,No,,96,7,90
4,Yes,6,63,7,48
9,Yes,2,97,6,93
9,No,9,56,7,57
9,Yes,3,57,8,5
3,No,5,79,9,63
8,No,0,48,9,37
3,Yes,0,86,4,67
5,Yes,3,99,9,88
5,No,4,97,9,8
5,No,8,47,8,35
,Yes,5,42,5,5
7,No,7,9,8,79
,No,7,43,7,20
8,No,0,48,6,39
2,Yes,8,48,8,26
8,Yes,5,97,7,92
4,No,6,73,4,54
7,Yes,7,57,7,49
4,No,6,,5,33
7,No,4,46,6,37
5,Yes,0,42,6,26
6,Yes,5,8,4,7
5,Yes,2,60,4,44
7,No,8,40,8,3
9,Yes,9,4,4,35
4,Yes,5,47,7,3
2,No,0,70,7,48
6,No,6,55,8,43
4,No,0,64,8,45
2,Yes,9,,7,29
5,Yes,9,55,4,37
5,Yes,3,6,7,48
2,No,,44,6,8
,No,7,98,6,74
7,Yes,4,92,8,85
,No,,62,8,36
7,No,4,49,4,36
7,No,2,95,7,86
7,Yes,2,73,8,64
3,No,9,43,4,24
6,Yes,,55,9,44
2,No,3,63,4,39
7,Yes,6,64,8,56
6,No,5,88,7,76
7,No,2,57,8,46
,Yes,5,49,4,22
,Yes,4,80,7,55
,Yes,8,57,9,37
7,Yes,9,58,7,46
2,No,5,57,5,35
,Yes,4,87,4,63
,No,0,63,6,36
8,Yes,4,59,6,55
2,No,8,95,6,70
6,Yes,3,95,7,83
5,Yes,,76,9,64
6,Yes,5,54,9,42
7,No,0,78,5,69
2,Yes,0,90,5,68
2,No,9,40,7,8
8,Yes,,60,7,56
5,No,9,84,6,69
4,Yes,5,,8,34
9,No,,5,7,44
,Yes,6,53,9,30
7,No,8,45,8,36
7,Yes,3,65,6,55
8,Yes,8,92,7,90
,No,5,6,6,34
3,Yes,0,48,7,28
5,No,8,48,8,3
2,Yes,9,54,8,34
7,No,,66,8,59
5,Yes,6,96,4,82
2,Yes,0,86,8,6
9,No,9,45,7,46
9,Yes,3,66,5,62
3,No,0,95,9,76
2,No,9,42,5,20
9,No,8,55,8,
7,Yes,7,44,5,35
5,Yes,5,72,6,55
4,No,5,83,4,66
,No,6,85,5,57
,Yes,3,90,9,67
9,No,7,49,8,47
3,Yes,5,9,8,7
5,Yes,5,40,4,25
3,No,6,78,5,59
7,No,8,85,9,78
7,Yes,8,84,4,76
3,Yes,3,83,4,64
7,Yes,6,45,6,38
6,Yes,3,66,6,53
7,Yes,9,90,4,83
8,No,7,40,7,36
4,Yes,9,87,5,75
2,No,7,89,4,67
,No,8,58,6,34
5,No,9,47,4,30
8,No,6,94,8,92
7,Yes,0,64,7,54
9,Yes,6,93,9,97
9,Yes,7,58,7,55
6,Yes,7,87,5,72
3,Yes,8,89,7,74
4,No,,95,9,78
,No,,47,8,24
6,Yes,9,52,8,45
8,No,8,44,5,38
8,Yes,3,64,6,53
3,Yes,4,98,7,79
6,No,8,8,4,65
2,No,2,96,8,72
8,No,,64,6,56
7,No,5,,9,42
,Yes,0,70,4,44
7,Yes,9,69,6,63
8,Yes,,70,8,64
6,No,,4,4,28
,Yes,6,62,7,36
9,No,0,66,9,65
8,No,,6,6,5
5,No,6,67,6,5
4,Yes,,75,4,60
8,Yes,,8,6,74
8,No,2,53,8,46
6,Yes,6,78,8,67
9,No,2,76,6,72
4,No,5,75,6,55
6,No,9,64,7,54
8,Yes,9,47,6,45
4,Yes,3,,7,3
5,No,3,70,5,52
3,Yes,,74,4,56
6,Yes,9,57,4,46
7,Yes,,55,8,
6,No,0,65,4,52
4,No,6,88,5,70
,Yes,2,83,4,53
4,Yes,0,70,7,53
2,Yes,6,54,8,3
,Yes,6,52,9,28
3,Yes,,97,6,75
5,Yes,7,68,7,53
7,Yes,2,40,6,33
2,No,9,97,5,73
2,No,,85,5,63
2,No,6,8,4,59
,Yes,4,62,5,37
4,Yes,8,78,7,59
7,Yes,4,82,5,70
7,Yes,4,56,9,46
6,No,8,72,5,62
2,Yes,6,63,4,42
6,Yes,4,60,7,
2,No,2,8,5,58
6,No,6,96,9,86
4,Yes,,57,8,4
5,No,2,94,9,84
7,No,8,77,8,70
6,No,0,90,7,77
,No,6,82,4,52
4,No,5,92,9,77
5,No,4,47,8,34
7,Yes,3,42,6,35
8,Yes,,45,6,40
,No,3,6,8,33
2,Yes,2,69,5,43
,No,,60,6,29
4,No,7,62,6,43
4,No,3,78,8,6
3,Yes,5,79,7,60
6,Yes,9,9,8,83
2,Yes,2,99,5,75
4,Yes,6,40,6,20
4,Yes,6,44,7,27
7,Yes,7,90,5,82
9,Yes,6,44,5,4
9,Yes,5,64,9,63
6,Yes,2,78,4,70
2,No,8,84,9,65
8,No,3,96,4,90
6,No,3,85,4,75
6,Yes,4,68,6,56
8,Yes,5,69,5,62
6,Yes,7,9,9,8
9,Yes,9,98,8,93
6,Yes,4,40,4,23
3,Yes,4,84,5,65
4,No,0,63,7,43
9,No,2,68,8,70
7,No,,63,6,54
9,No,8,6,4,59
9,Yes,4,67,7,65
7,No,,94,9,84
2,No,,92,4,69
9,No,7,58,8,59
8,Yes,9,74,4,65
8,Yes,8,47,6,42
5,Yes,5,88,7,72
,No,3,57,8,30
7,Yes,7,47,4,39
7,Yes,8,72,5,63
8,Yes,5,90,7,88
8,No,0,45,9,38
3,No,,80,6,6
,Yes,4,82,9,62
3,No,4,73,8,
6,Yes,4,98,6,87
8,Yes,8,84,8,82
,Yes,0,76,8,
5,No,5,59,8,43
4,Yes,5,72,9,55
8,Yes,0,98,7,97
9,Yes,8,94,4,93
9,Yes,,76,7,73
6,Yes,6,55,6,45
8,No,3,7,6,64
5,Yes,8,53,8,40
5,No,,59,5,43
2,Yes,4,44,7,9
3,Yes,0,85,9,68
3,No,4,92,5,7
2,No,8,40,9,6
7,No,9,95,8,94
9,Yes,3,78,4,74
8,No,6,95,7,90
,Yes,2,72,6,46
2,No,6,89,9,68
6,No,0,44,8,29
,No,0,78,9,53
5,Yes,7,56,4,39
2,No,6,76,9,56
5,No,6,89,4,69
8,No,6,48,9,46
7,Yes,2,96,7,89
4,Yes,0,5,4,30
2,No,4,52,8,27
3,Yes,4,40,8,20
5,Yes,8,56,8,43
8,No,7,47,7,38
9,Yes,3,8,7,78
9,Yes,5,87,6,85
6,Yes,9,77,6,65
8,Yes,3,56,6,
7,No,6,62,7,52
4,Yes,9,77,7,6
3,No,,79,8,60
5,Yes,7,5,5,38
7,No,3,64,4,46
5,No,8,56,5,4
,Yes,6,67,4,39
7,No,0,47,5,38
4,Yes,8,54,6,39
2,No,2,86,7,63
6,No,3,96,6,82
4,No,,45,7,25
5,Yes,2,84,4,73
7,No,8,60,7,52
4,No,2,43,9,25
3,Yes,,96,7,72
8,Yes,5,70,7,68
8,Yes,0,45,4,37
3,No,8,46,5,27
8,Yes,6,76,8,70
4,No,3,83,5,64
4,No,4,42,5,22
5,Yes,8,6,5,48
2,No,0,54,7,30
2,Yes,6,4,6,9
2,Yes,7,67,5,4
5,Yes,4,62,9,47
5,Yes,,78,4,60
,Yes,5,54,8,28
,Yes,5,87,7,64
3,No,6,84,6,6
,Yes,6,92,4,67
4,Yes,0,8,7,65
7,No,2,93,6,84
8,No,,62,5,53
2,Yes,9,90,6,68
9,Yes,,43,9,38
2,Yes,3,86,8,69
9,No,9,87,8,89
7,No,5,89,5,78
5,No,8,66,6,5
7,Yes,6,65,9,57
5,No,0,69,6,57
,No,8,69,8,44
5,Yes,0,45,6,28
3,Yes,8,42,6,2
4,Yes,7,4,8,23
5,Yes,5,76,6,62
,No,8,49,6,24
3,Yes,,82,5,60
9,No,2,76,7,7
5,No,4,70,7,53
4,Yes,9,43,6,25
5,Yes,3,86,6,74
4,Yes,9,44,9,28
2,No,2,46,9,24
8,Yes,,68,5,58
3,No,5,96,5,74
,No,5,96,9,69
7,Yes,0,89,4,79
,Yes,3,94,6,7
8,No,8,83,7,79
5,No,9,85,8,68
8,Yes,7,56,5,5
,No,8,76,5,
4,Yes,3,83,6,66
5,Yes,,74,7,59
7,Yes,6,67,9,6
,No,4,86,5,57
5,No,2,96,6,8
6,No,7,89,7,79
2,No,9,98,7,77
7,No,0,84,7,76
6,Yes,6,99,5,85
3,Yes,8,99,6,83
3,No,9,63,7,46
7,Yes,8,4,6,34
3,Yes,0,64,6,43
7,Yes,5,68,7,60
6,Yes,2,68,7,58
3,Yes,2,60,8,38
7,Yes,0,65,7,53
2,Yes,7,76,4,5
3,Yes,0,65,4,44
5,No,,85,6,72
6,No,2,8,7,68
7,No,5,8,4,7
,Yes,4,59,7,3
7,Yes,8,88,6,82
,No,7,64,8,42
4,Yes,2,94,8,73
,Yes,5,9,9,67
5,No,0,70,8,56
7,No,2,40,8,30
5,Yes,9,56,8,45
9,Yes,4,45,7,43
7,Yes,7,47,5,38
3,Yes,8,9,9,72
8,No,5,9,4,84
2,No,2,8,9,6
2,No,9,66,6,43
8,Yes,8,69,4,63
3,Yes,2,90,6,68
8,Yes,0,84,5,76
6,Yes,5,58,4,48
4,No,7,62,6,45
6,No,,44,5,34
5,Yes,8,85,5,70
,Yes,5,56,8,3
2,Yes,6,90,7,64
3,Yes,7,52,5,37
8,No,8,5,7,43
7,No,8,66,9,6
,No,,46,8,8
